Project Name,Address,Latitude,Longitude
Huddle House,"9401 S. Stony Island Ave, Chicago, IL",41.7241691,-87.5835114
Veteran Roasters,"756 E. 111th St, Chicago, IL",41.6931455,-87.6023369
Inner-City Muslim Action Network (IMAN) (Go Green Market/Grocery),"1207-11 W. 63rd St, Chicago, IL",41.7795123,-87.6548937
J Marie Development,"949 E. 75th St, Chicago, IL",41.7583456,-87.6009324
Fatburger,"825 E. 87th St, Chicago, IL",41.7364902,-87.603809
Marcos Carbajal dba Carnita Uruapan,"3801 W. 26th St, Chicago, IL",41.8440874,-87.7198407
Soul City Chicago (Forty Acres Fresh Market),"5713 W. Chicago Ave, Chicago, IL",41.8945457,-87.7684081
Lindo Michoacan Inc,"3142 W. Lawrence Ave, Chicago, IL",41.9687282,-87.7078726
Marcos Carbajal,"3801 W. 26th St, Chicago, IL",41.8440874,-87.7198407
Overton Center,"221 E. 49th St, Chicago, IL",41.8054921,-87.6203453
Sputnik Coffee,"4743 S. Talman Ave, Chicago, IL",41.8070837,-87.6901571
Batter & Berries,", Chicago, IL",41.88325,-87.6323879
Chicago Market,"4620 N Broadway Ave, Chicago, IL",41.9658331,-87.6579306
E.G. Woode,"1022 W 63rd St, Chicago, IL",41.779882,-87.6506755
Juan Teague,"5924 W Chicago Ave, Chicago, IL",41.8950235,-87.7733116
The Ave Café,"5249 W Chicago Ave, Chicago, IL",41.8947523,-87.7575607
Urban Market Exchange,"525 E 67th St, Chicago, IL",41.7728718,-87.6119733
Yellow Banana - A,"10700 S. Halsted St., Chicago, IL",41.6986957,-87.6429539
Yellow Banana - B,"2858 E. 83rd St., Chicago, IL",41.7452081,-87.5543466
Yellow Banana - D,"420 S. Pulaski Rd., Chicago, IL",41.8746048,-87.7262597
Yellow Banana - E,"4439 W. 63rd St., Chicago, IL",41.7782679,-87.7340413
Yellow Banana - F,"7240 S. Stony Island Ave., Chicago, IL",41.7629943,-87.587234
Yellow Banana - G,"7908 S. Halsted St., Chicago, IL",41.7498755,-87.644316
Bennett Place,"1900-1912 E 71st St, Chicago, IL",41.7663424,-87.5783181
Demera Ethiopian Restaurant,"4528 S Cottage Grove Av, Chicago, IL",41.8122274,-87.6070567
Eli's Cheesecake Company Innovation & Education Center,"6701 W Forest Preserve Av, Chicago, IL",41.958984,-87.7944585
KOCO Office and Silver Fox Cafe ,"4242 S Cottage Grove Av, Chicago, IL",41.8173564,-87.6070437
Old Fashioned Donuts,"11248 S Michigan Av, Chicago, IL",41.689346,-87.6213404
Twisted Egg Roll,"657 E 75th St, Chicago, IL",41.7583377,-87.6080309
Yellow Banana - Altgeld,"13000,13006,13012,13016 Rhodes Ave and 13001,13007,13013,13017 Eberhart Ave S Rhodes Av, Chicago, IL",41.6585183,-87.6103223
Soul & Smoke,"3057 N Rockwell St, Chicago, IL",41.9375368,-87.691236
CityLit Books & Monday Coffee at Lucy Gonzalez Parsons Apartments,"2614 N Emmett St, Chicago, IL",41.9308945,-87.708843
Evelyn's Food Love Rooftop Bar & Deck,"5522 S State St, Chicago, IL",41.7935523,-87.6260121
Growing Home Urban Farm Enterprise Expansion Project,"1824 W 59th St, Chicago, IL",41.787155,-87.669865
Ida's Artisan Ice Cream & Treats,"3935 W Roosevelt Rd, Chicago, IL",41.865968,-87.7241253
Uptown Food Exchange,"4833 N Broadway, Chicago, IL",41.9700459,-87.6593075
Whadda Jerk,"1600 S Kedzie Av, Chicago, IL",41.8589583,-87.7057306
XS Tennis Food Court,"5336 S State St, Chicago, IL",41.7972529,-87.6266205
TCA Health's Nutrition Innovation Center,"1029 E 130th St, Chicago, IL",41.6588246,-87.5967981
The Re-Up on 59th & Racine  ,"1158 W 59th St, Chicago, IL",41.7871496,-87.6545006
Ujima Hive,"1158 W 59th St, Chicago, IL",41.7871496,-87.6545006
CTRL Kitchen 4551,"4551 W Fulton St, Chicago, IL",41.8851358,-87.7399609
Garden To Table Farm,"1431-41 S Harding Av, Chicago, IL",41.861619,-87.723477
