Market Name,Address,DCASE,Latitude,Longitude
Edgewater Monday Market (L),"Broadway Armory Parking Lot, 5917 N. Broadway, Chicago, IL",FALSE,41.9891929,-87.6598587
Hamptons Farmers Market (L),"3 S. Laramie Ave, Chicago, IL",FALSE,41.876452,-87.7547701
Lincoln Square Farmers Market (L),"4513 N. Lincoln Ave., Chicago, IL",FALSE,41.9638669,-87.6850013
Low-Line Market (L),"3400 N. Southport Ave, Chicago, IL",FALSE,41.9435819,-87.6641624
Pru Farmer's Market,"135 E. Lake St., Chicago, IL",FALSE,41.8856964,-87.6235488
River North Farmers Market (L),"330 N. Wabash Ave., Chicago, IL",FALSE,41.8889318,-87.6271596
SOAR Farmers Market,"220 E. Chicago Ave., Chicago, IL",FALSE,41.8971824,-87.621029
The Farmer at The Green,"320 S. Canal St., Chicago, IL",FALSE,41.8771786,-87.6406667
Andersonville Farmers Market (L),"1500 W. Winona Ave., Chicago, IL",FALSE,41.9752753,-87.6683169
Garfield Ridge Farmers Market,"6400 W. Archer Ave., Chicago, IL",FALSE,41.7924055,-87.7818108
Green City Market Lincoln Park (L),"1818 N. Clark St., Chicago, IL",FALSE,41.915625,-87.6342941
Hamptons Farmers Market (L),"3 S. Laramie Ave, Chicago, IL",FALSE,41.876452,-87.7547701
Pullman Farmers Market * (L),"11100 S. Cottage Grove Ave., Chicago, IL",TRUE,41.6929432,-87.610042
Ravenswood Community Farmers Market,"4900 N. Damen Ave., Chicago, IL",FALSE,41.9708543,-87.6796686
Uptown Farmers Market (L),"Sunnyside Mall, 1257-1320 W. Sunnyside Ave., Chicago, IL",FALSE,41.9634392,-87.6623911
Austin Town Hall Farmers Market * (L),"5610 W. Lake St., Chicago, IL",TRUE,41.8882977,-87.7658014
Daley Plaza Farmers Market (L),"50 W. Washington St., Chicago, IL",FALSE,41.8840336,-87.6301288
Growing Home Farmstand (L),"1844 W. 59th St, Chicago, IL",FALSE,41.7870481,-87.6707887
Lincoln Square Farmers Market (L),"4513 N. Lincoln Ave., Chicago, IL",FALSE,41.9638669,-87.6850013
Chicago Vegan Farmers Market,"2054 W. Grand Ave., Chicago, IL",FALSE,41.8909718,-87.6790922
61st St. Farmers Market (L),"1400 E. 61st St., Chicago, IL",FALSE,41.7842074,-87.5914138
Division Street Farmers Market (L),"30 W. Division St., Chicago, IL",FALSE,41.9038244,-87.629722
Garfield Park Neighborhood Market (L),"The Hatchery Plaza, 135 N. Kedzie Ave., Chicago, IL",FALSE,41.8838119,-87.7046737
Green City Market Lincoln Park (L),"1817 N. Clark St., Chicago, IL",FALSE,41.915897,-87.6341932
Green City Market West Loop (L),"900 W. Monroe St., Chicago, IL",FALSE,41.8804689,-87.6504343
Hegewisch Farmers Market (L),"13323 S. Green Bay Ave., Chicago, IL",FALSE,41.6521447,-87.5406326
Horner Park Farmers Market,"2741 W. Montrose Ave., Chicago, IL",FALSE,41.960554,-87.6977102
North Branch Farmers Market,"6525 N. Hiawatha Ave., Chicago, IL",FALSE,41.9996044,-87.7609374
Northcenter Farmers Market (L),"4100 N. Damen Ave., Chicago, IL",FALSE,41.956116,-87.6790664
South Loop Farmers Market: Printers Row,"632 S. Dearborn St., Chicago, IL",FALSE,41.8733199,-87.6293582
The Lincoln Park Farmers Market,"724 W. Armitage Ave., Chicago, IL",FALSE,41.9182656,-87.6472219
UChicago Farmers Market,"1100 E. 58th St., Chicago, IL",FALSE,41.7901748,-87.5991412
95th Street Farmers Market,"1835 W. 95th St., Chicago, IL",FALSE,41.720862,-87.6689125
Bronzeville Farmers Market * (L),"4700 S. King Dr., Chicago, IL",TRUE,41.8092108,-87.6171411
El Paseo Market,"944 W. 21st St., Chicago, IL",FALSE,41.8544044,-87.6498455
Glenwood Sunday Market (L),"6960 N. Glenwood Ave., Chicago, IL",FALSE,42.008396,-87.666311
Hey Neighbor! South Shore Farmers Market,"7001 S. Jeffery Blvd., Chicago, IL",FALSE,41.767829,-87.576004
Hyde Park Farmers Market (L),"5400 S. Lake Park Ave., Chicago, IL",FALSE,41.796998,-87.587886
Jefferson Park Sunday Market,"4822 N. Long Ave., Chicago, IL",FALSE,41.9686487,-87.7628091
Logan Square Farmers Market (L),"2400 N. Kedzie Blvd., Chicago, IL",FALSE,41.9249196,-87.7079731
North Park Community Market (L),"5510 N. Christiana Ave., Chicago, IL",FALSE,41.9821574,-87.7132592
Northwest Side Farmers Market,"4626 N. Knox Ave., Chicago, IL",FALSE,41.9653586,-87.7445765
Portage Park Farmers Market,"4100 N. Long Ave., Chicago, IL",FALSE,41.9555824,-87.7630654
Wicker Park Farmers Market (L),"1425 N. Damen Ave., Chicago, IL",FALSE,41.9079904,-87.6767438
