Primary,TIF District,Project Address,,Full Project Address,Latitude,Longitude,Actual Grant,Stage 5 Date/Applicant Paid,Notes 
1036 N. Kilbourn LLC/Elston Ave Food Company dba The Goddess,Northwest Industrial Corridor,1036 N Kilbourn Ave,"Chicago, IL","1036 N Kilbourn Ave, Chicago, IL",41.9000267,-87.7388972,"$29,150.00",07/07/21,
"1308, LLC",North Branch - South,1308 N Elston Ave,"Chicago, IL","1308 N Elston Ave, Chicago, IL",41.9057141,-87.66013769999999,"$75,000.00",11/10/22,
"3312 S. Halsted, Inc. dba La Mom Kitchen",35th/Halsted,3312 S Halsted St,"Chicago, IL","3312 S Halsted St, Chicago, IL",41.8343737,-87.6465374,"$100,000.00",03/29/21,
"3471 N. Elston, Inc. dba Chief O'Neill's Pub & Restaurant",Kennedy/Kimball,3471 N Elston Ave,"Chicago, IL","3471 N Elston Ave, Chicago, IL",41.9446482,-87.7055227,"$147,723.06",02/07/25,
"35th Street RedHots, LLC",35th/Wallace,500 W 35th St,"Chicago, IL","500 W 35th St, Chicago, IL",41.8309883,-87.6389859,"$15,720.34",12/14/23,
"Adam Seafood, Inc. dba Shrimp House",RTZ - South Shore,1800 E 79th St,"Chicago, IL","1800 E 79th St, Chicago, IL",41.7518656,-87.58049439999999,"$250,000.00",01/07/21,
Ambala Holdings LLC,Western Avenue North,2114 W Lawrence Ave,"Chicago, IL","2114 W Lawrence Ave, Chicago, IL",41.9688662,-87.6823318,"$150,000.00",02/07/25,
Angela Alcala dba Los Altos Restaurant,RTZ - Back of the Yards,1848 W 47th St,"Chicago, IL","1848 W 47th St, Chicago, IL",41.8087416,-87.67173079999999,"$23,805.77",06/23/22,
"Arya Bhavan, Inc.",Devon/Western,2508 W Devon Ave,"Chicago, IL","2508 W Devon Ave, Chicago, IL",41.997932,-87.6928086,"$111,714.30",01/19/24,
BC Irving Park LLC dba Backlot Coffee,Western Avenue North,"2424 W Montrose Ave, Unit C","Chicago, IL","2424 W Montrose Ave, Unit C, Chicago, IL",41.96149610000001,-87.68962959999999,"$75,000.00",09/05/24,
BOCBP LLC dba Bad Owl Coffee Roasters,35th/Halsted,3315 S Morgan St,"Chicago, IL","3315 S Morgan St, Chicago, IL",41.8343308,-87.6507718,"$56,250.00",01/19/24,
Bridgeport Bakery 2.0,Archer/Western,2907 S Archer Ave,"Chicago, IL","2907 S Archer Ave, Chicago, IL",41.84147129999999,-87.65781419999999,"$135,900.00",11/04/22,
"Build Coffee, LLC",Woodlawn,6100 S Blackstone Ave,"Chicago, IL","6100 S Blackstone Ave, Chicago, IL",41.784078,-87.59058859999999,"$18,632.94",05/08/23,
Burgundy Restaurant Inc.,West Irving Park,5953-5959 W Irving Park Rd,"Chicago, IL","5953-5959 W Irving Park Rd, Chicago, IL",41.9528634,-87.7764042,"$13,590.00",01/14/25,
Cafe Harold's Restaurant,119th/I-57,1552 W 119th St,"Chicago, IL","1552 W 119th St, Chicago, IL",41.6778239,-87.66107290000001,"$111,438.23",10/05/23,
