Acct#,Site#,DBA Name,Address,Latitude,Longitude,License#,Record ID,License Code,License Name
1,2,BERGHOFF'S,"17 W ADAMS ST CHICAGO, IL 60603",41.87923199999999,-87.6283942,2442874,2952643,1006,Retail Food Establishment
2,2,BERGHOFF CAFE,"11601 W TOUHY AVE CHICAGO, IL 60666",41.9738479,-87.90335449999999,64540,2952646,1006,Retail Food Establishment
13,2,Murphy's Bleachers,"3653-3655 N SHEFFIELD AVE CHICAGO, IL 60613",41.94887629999999,-87.6539816,1171723,2962421,1006,Retail Food Establishment
13,3,MURPHY'S BLEACHERS,"3649 N SHEFFIELD AVE CHICAGO, IL 60613",41.94868779999999,-87.6540354,1697670,2962423,1470,Tavern
17,1,FOX'S BEVERLY PUB,"9956 S WESTERN AVE CHICAGO, IL 60643",41.7120673,-87.68200859999999,149,2907197,1006,Retail Food Establishment
19,1,BURWOOD TAP,"724 W WRIGHTWOOD AVE CHICAGO, IL 60614",41.9293223,-87.6474928,158,2891512,1006,Retail Food Establishment
21,1,POTASH BROS. SUPERMARKET,"1525 N CLARK ST CHICAGO, IL 60610",41.9101001,-87.6312098,164,2944298,1006,Retail Food Establishment
27,1,CAROL'S PUB,"4659 N CLARK ST CHICAGO, IL 60640",41.96692609999999,-87.66684,32261,2907199,1006,Retail Food Establishment
28,1,RIVER SHANNON,"425 W ARMITAGE AVE CHICAGO, IL 60614",41.91812609999999,-87.6398639,207,2891515,1006,Retail Food Establishment
41,1,GEJA'S CAFE,"340-344 W ARMITAGE AVE CHICAGO, IL 60614",41.9185369,-87.6380586,257,2891520,1006,Retail Food Establishment
46,1,"BUTCH MC GUIRE'S, INC.","20 W DIVISION ST CHICAGO, IL 60610",41.9040574,-87.6296357,276,2944299,1006,Retail Food Establishment
53,1,LITTLE JOE'S CIRCLE LOUNGE INC,"1041 W TAYLOR ST CHICAGO, IL 60607",41.8693072,-87.65278479999999,319,2957275,1006,Retail Food Establishment
58,1,LATE BAR,"3534 W BELMONT AVE CHICAGO, IL 60618",41.93943609999999,-87.71636269999999,333,2993820,1006,Retail Food Establishment
61,1,KELLY'S PUB,"949 W WEBSTER AVE CHICAGO, IL 60614",41.9215793,-87.6529655,349,2891523,1006,Retail Food Establishment
66,1,GOLDIE'S,"3839 N LINCOLN AVE CHICAGO, IL 60613",41.9515827,-87.6767208,368,2962425,1006,Retail Food Establishment
67,1,RABBIT HOLE,"1208 N WELLS ST CHICAGO, IL 60610",41.90416,-87.6347655,370,2944303,1470,Tavern
73,1,CELTIC CROWN,"4301 N WESTERN AVE CHICAGO, IL 60618",41.9596373,-87.68835159999999,404,2993822,1006,Retail Food Establishment
75,1,DI CARLO'S ARMANETTI LIQUORS,"515 N WESTERN AVE CHICAGO, IL 60612",41.8912117,-87.686511,413,2978148,1474,Package Goods
78,1,FREDDIE'S LOUNGE,"5464 W MADISON ST CHICAGO, IL 60644",41.8805294,-87.76265629999999,427,2896523,1470,Tavern
79,1,TONY'S ITALIAN DELI,"6708 N NORTHWEST HWY CHICAGO, IL 60631",42.0028377,-87.8166644,429,2972527,1006,Retail Food Establishment
80,1,JERUSALEM LIQUORS,"3133-3135 W LAWRENCE AVE CHICAGO, IL 60625",41.9683357,-87.7074433,440,2918760,1006,Retail Food Establishment
82,4,R J GRUNTS,"2054-2056 N LINCOLN PARK WEST  CHICAGO, IL 60614",41.9200395,-87.6364045,853,2896526,1006,Retail Food Establishment
90,1,"LA UNICA FOOD MART, INC.","1515 W DEVON AVE CHICAGO, IL 60660",41.9978579,-87.66847729999999,491,2913101,1006,Retail Food Establishment
92,1,"BROS. DRUGS & LIQUORS, INC.","4201 W ROOSEVELT RD CHICAGO, IL 60624",41.8658352,-87.7302357,513,2972528,1474,Package Goods
96,1,DI'S DEN,"5100-5104 W IRVING PARK RD CHICAGO, IL 60641",41.9533317,-87.7546979,526,2913104,1006,Retail Food Establishment
102,5,Duke of Perth,"2827 N BROADWAY  CHICAGO, IL 60657",41.9336137,-87.644418,2252464,3002847,1006,Retail Food Establishment
107,2,BISTRONOMIC,"840 N WABASH AVE CHICAGO, IL 60611",41.8978882,-87.6272156,1718928,3007313,1006,Retail Food Establishment
113,1,ZANIES COMEDY CLUB,"1548 N WELLS ST CHICAGO, IL 60610",41.9105275,-87.6350891,36271,2944304,1006,Retail Food Establishment
118,2,"Calo Lounge, Inc.","5341-5343 N CLARK ST CHICAGO, IL 60640",41.979251,-87.668038,1245300,2907207,1006,Retail Food Establishment
122,1,The Thirsty Tavern,"5368 N MILWAUKEE AVE CHICAGO, IL 60630",41.9782245,-87.770615,653,2896529,1006,Retail Food Establishment
