OBJECTID_1,Join_Count,TARGET_FID,JOIN_FID,Record_ID,Store_Name,Store_Stre,Additonal_,City,State,Zip_Code,Address,Zip4,County,Store_Type,Latitude,Longitude,Incentive_,Grantee_Na,ObjectId,CookCounty
211,1,211,138,501689,Joe's Food & Liquor,3626 W Lawrence Ave,,Chicago,IL,60625,"3626 W Lawrence Ave, Chicago, IL, 60625",5684,COOK,Grocery Store,41.96841,-87.719284,,,16365,Albany Park
288,1,288,138,394417,LEBANESE MEAT MARKET,4657 N Kedzie Ave,,Chicago,IL,60625,"4657 N Kedzie Ave, Chicago, IL, 60625",4426,COOK,Specialty Store,41.966373,-87.708138,,,22335,Albany Park
433,1,433,138,534616,LINDO MICHOACAN,3142 W Lawrence Ave,,Chicago,IL,60625,"3142 W Lawrence Ave, Chicago, IL, 60625",4228,COOK,Super Store,41.968487,-87.707619,,,33987,Albany Park
434,1,434,138,609379,Walgreens 09709,4010 W Lawrence Avenue,,Chicago,IL,60630,"4010 W Lawrence Avenue, Chicago, IL, 60630",,COOK,Other,41.968288,-87.728485,,,34114,Albany Park
581,1,581,138,728209,FEYROUS PASTRIES,4510 N Kedzie Ave,,Chicago,IL,60625,"4510 N Kedzie Ave, Chicago, IL, 60625",4511,COOK,Convenience Store,41.963219,-87.708382,,,45055,Albany Park
626,1,626,138,781237,KAPATID ORIENTIAL STORE,3538 W Lawrence Ave,,Chicago,IL,60625,"3538 W Lawrence Ave, Chicago, IL, 60625",5628,COOK,Grocery Store,41.968414,-87.717171,,,48844,Albany Park
732,1,732,138,672288,ALDI 40006 40006,5001 N Pulaski Rd,,Chicago,IL,60630,"5001 N Pulaski Rd, Chicago, IL, 60630",2706,COOK,Supermarket,41.971878,-87.72805,,,57970,Albany Park
795,1,795,138,817290,Family Dollar 6918,3239 W Lawrence Ave,,Chicago,IL,60625,"3239 W Lawrence Ave, Chicago, IL, 60625",5222,COOK,Other,41.968388,-87.709808,,,61998,Albany Park
835,1,835,138,853542,Joony Mart,4947 N Kedzie Ave,,Chicago,IL,60625,"4947 N Kedzie Ave, Chicago, IL, 60625",5009,COOK,Convenience Store,41.971127,-87.708473,,,64195,Albany Park
840,1,840,138,822422,Chicago Produce,3500 W Lawrence Ave,,Chicago,IL,60625,"3500 W Lawrence Ave, Chicago, IL, 60625",5612,COOK,Super Store,41.968636,-87.716103,,,65316,Albany Park
843,1,843,138,820725,Drake Quick Mart,3524 W Montrose Ave,,Chicago,IL,60618,"3524 W Montrose Ave, Chicago, IL, 60618",1377,COOK,Convenience Store,41.961384,-87.716591,,,65402,Albany Park
966,1,966,138,946165,INDO-PAK MEAT & GROCERY,3922 W Lawrence Ave,,Chicago,IL,60625,"3922 W Lawrence Ave, Chicago, IL, 60625",6212,COOK,Grocery Store,41.968311,-87.726524,,,72507,Albany Park
1280,1,1280,138,1134969,Adrians's Food Market 2 Inc 1,3258 W Montrose Ave,,Chicago,IL,60618,"3258 W Montrose Ave, Chicago, IL, 60618",1224,COOK,Grocery Store,41.961208,-87.709946,,,96918,Albany Park
1298,1,1298,138,1137517,Cremeria La Ordena 2,3810 W Lawrence Ave,,Chicago,IL,60625,"3810 W Lawrence Ave, Chicago, IL, 60625",6206,COOK,Grocery Store,41.968315,-87.72377,,,98470,Albany Park
1339,1,1339,138,1142385,Dollar Tree 5537,4920 N Pulaski Rd,,Chicago,IL,60630,"4920 N Pulaski Rd, Chicago, IL, 60630",2813,COOK,Other,41.970737,-87.728142,,,101432,Albany Park
