growing_site_name,address,has_chicago,add_chicago,full_address,Latitude,Longitude,location,ward,community,district_n,ownership,growing_site_website,public_contact_info,facebook,evidence_of_support_organizations,is_growing_site_fenced,is_growing_site_locked,food_producing,compost_system,is_growing_site_dormant,other_support_organization,season_extension_techniques,structures_and_features,water,choose_growing_site_types,community_garden,if_it_s_a_community_garden_is_it_collective_or_allotment,neighborhood
McKinley Community Play Garden,3518 S Wolcott Ave  Chicago  IL 60609  USA,FALSE,,3518 S Wolcott Ave  Chicago  IL 60609  USA,41.8298372,-87.6731385,"[41.8298372,-87.6731385]",12,CHICAGO,7,NeighborSpace,http://neighbor-space.org/2012/06/17/mckinley-library-park/,,,NeighborSpace,TRUE,FALSE,FALSE,,FALSE,,,,,Ornamental / Beautification,TRUE,,
Amor de Dios,2348 S Sawyer Ave,TRUE,Chicago IL,2348 S Sawyer Ave Chicago IL,41.8484761,-87.7068642,"[41.8484761,-87.7068642]",12,CHICAGO,7,,http://lvejo.org/,,https://www.facebook.com/pages/Little-Village-Environmental-Justice-Organization-LVEJO/92669819450,,TRUE,TRUE,TRUE,,FALSE,LVEJO,,Compost System,Hose connected to private property  No apparent water source,Community Garden  Pantry Garden  Congregation Garden,,Collective,
Marshall Square Garden,2866 W 23rd St,TRUE,Chicago IL,2866 W 23rd St Chicago IL,41.8502719,-87.6980314,"[41.8502719,-87.6980313999999]",12,CHICAGO,7,,,,,,TRUE,FALSE,TRUE,,FALSE,,,,No apparent water source,Community Garden,,Unclear,
McKinley Park Community Garden,1922 W Pershing Rd,TRUE,Chicago IL,1922 W Pershing Rd Chicago IL,41.8233953,-87.6737642,"[41.8233953,-87.6737642]",12,CHICAGO,7,,http://www.mkpgarden.com/,,,,FALSE,FALSE,TRUE,,FALSE,,,Compost System  Seating Area,City Fire Hydrant  Irrigation System,Community Garden,,Allotment,
Telpochcalli Community Fine Arts School,2850 W 24th Blvd,TRUE,Chicago IL,2850 W 24th Blvd Chicago IL,41.8487213,-87.697708,"[41.8487213,-87.6977079999999]",12,CHICAGO,7,,http://www.esperanzachicago.org/what-we-do/,,https://www.facebook.com/esperanzahealthcenters,,TRUE,FALSE,TRUE,,FALSE,Esperanza Health Center,,Compost System  Seating Area  Shed / Storage box,City Fire Hydrant,Community Garden  School Garden,,Collective,
Calmeca Elementary School,3456 W 38th St Chicago IL,FALSE,,3456 W 38th St Chicago IL,41.8252482,-87.7114118,"[41.8252482,-87.7114118]",12,CHICAGO,7,Chicago Public Schools,,,,The Kitchen Community,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Brighton Park Elementary School,3825 S Washtenaw Ave,TRUE,Chicago IL,3825 S Washtenaw Ave Chicago IL,41.8240076,-87.6917699,"[41.8240076,-87.6917699]",12,CHICAGO,7,,,,,,,,FALSE,FALSE,FALSE,,,,,,FALSE,,
Burroughs Elementary School,3542 S Washtenaw Chicago IL,FALSE,,3542 S Washtenaw Chicago IL,41.8288313,-87.6926971,"[41.8288313,-87.6926970999999]",12,CHICAGO,7,Chicago Public Schools,,,,The Kitchen Community,,,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Evergreen Academy Middle School,3537 S Paulina St,TRUE,Chicago IL,3537 S Paulina St Chicago IL,41.8289489,-87.6675912,"[41.8289489,-87.6675911999999]",12,CHICAGO,11,,,,,,,,TRUE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification  Habitat / Conservation / Prairie,FALSE,,
Greene Elementary School,3525 S Honore St,TRUE,Chicago IL,3525 S Honore St Chicago IL,41.8296415,-87.6711354,"[41.8296415,-87.6711354]",12,CHICAGO,7,Chicago Public Schools,,,,The Kitchen Community,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
