Business Name,Business Type,Address,Latitude,Longitude
"Legacy, etc. dba Mikkey's Retro Grill",Restaurant,"8126 S Stony Island Ave, Chicago, IL",41.7468646,-87.5861341
"Shawn Michelle's Churned Homemade Icecream, Inc.",Desserts,"56 E 47th St, Chicago, IL",41.8093844,-87.6237985
"Sip & Savor 47th, Inc.",Coffee shop/cafe,"78 E 47th St, Chicago, IL",41.8093927,-87.6230445
"Carniceria la Hacienda No. 4, Inc.",Grocery store,"5159 S Kedzie Ave, Chicago, IL",41.7991961,-87.7033671
South Shore Brew,Coffee shop/cafe,"7101 S Yates Blvd, Chicago, IL",41.7656043,-87.5663311
Chubby's Char House,Restaurant,"5963 W Madison St, Chicago, IL",41.8799104,-87.7741808
Darwin Norals (tenant: Doughboys),Fast food,"352 E 71st St, Chicago, IL",41.7658537,-87.6163343
Herban Produce,Urban farm,"2834 - 2922 W Van Buren St, Chicago, IL",41.8761275,-87.6994945
Nipsey's Restaurant & Bar,Restaurant,"9156 S Stony Island Ave, Chicago, IL",41.7279557,-87.5858796
"Kleo's Corner, LLC",Restaurant,"69 East Garfield Blvd, Chicago, IL",41.7943756,-87.6224495
AP Deli,Deli,"10756-58 S Michigan Ave, Chicago, IL",41.6982855,-87.6209943
Original Soul Vegetarian,Restaurant,"203 E 75th St, Chicago, IL",41.7582026,-87.6196137
Tom's Pancake House,Restaurant,"1509 W 47th St, Chicago, IL",41.8084347,-87.6629832
The Woodlawn,Event space and restaurant ,"1200 E 79th St, Chicago, IL",41.7515357,-87.5952404
Coleman's Bar-B-Que #2,Restaurant,"5752-56 W Chicago Ave, Chicago, IL",41.8949608,-87.7699391
"Bronzeville Winery, LLC",Restaurant,"4420 & 4414 S Cottage Grove, Chicago, IL",41.8142125,-87.6069522
S2 City Grill,Restaurant,"8734 S Stony Island Ave, Chicago, IL",41.7354939,-87.5860376
Bombon Cake Gallery and Design,Desserts,"3834 W 26th St, Chicago, IL",41.8444123,-87.7210873
"Uncle Remus Restaurant, Inc.",Restaurant,"5611 W Madison St, Chicago, IL",41.8799719,-87.7654325
